OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C DEB,1999-025FL,2026-06-11T22:24:15.791040,14.65152845,.01927056,98.0517,149.7930,3.5719,48.6662,0,U,29866,999,2979,.37399537E-3,.2586E-4,0
FENGYUN 1C DEB,1999-025FN,2026-06-12T01:52:26.875776,14.80919567,.01908061,97.9222,211.7565,135.2620,285.9955,0,U,29868,999,2977,.61065304E-3,.6408E-4,0
FENGYUN 1C DEB,1999-025FP,2026-06-12T18:47:25.947744,14.37281416,.0086111,98.8875,104.9003,193.0375,227.6174,0,U,29869,999,1430,.19106E-3,.546E-5,0
FENGYUN 1C DEB,1999-025FQ,2026-06-12T19:54:14.322816,14.29052763,.0120433,98.4841,134.6939,17.3553,47.9173,0,U,29870,999,1192,.61544E-4,.125E-5,0
FENGYUN 1C DEB,1999-025FR,2026-06-12T20:05:55.315392,14.43812958,.0055491,98.9900,131.8414,288.7410,131.5099,0,U,29871,999,1328,.69748E-3,.2369E-4,0
FENGYUN 1C DEB,1999-025FS,2026-06-12T00:54:23.238144,14.39754422,.0235083,98.3338,179.3344,127.7997,234.4733,0,U,29872,999,1199,.36862018E-3,.155E-4,0
FENGYUN 1C DEB,1999-025FT,2026-06-12T05:18:37.061856,13.98324888,.00943778,99.4231,33.3815,65.4351,55.8388,0,U,29873,999,98851,.28732121E-3,.38E-5,0
FENGYUN 1C DEB,1999-025FU,2026-06-12T06:13:16.424832,14.31178902,.0097985,98.3721,58.4318,171.7431,318.9768,0,U,29874,999,99442,.14344857E-2,.3952E-4,0
FENGYUN 1C DEB,1999-025FV,2026-06-12T02:34:42.109248,14.24918977,.00810323,98.3752,211.5693,251.0197,164.0314,0,U,29875,999,898,.24026163E-4,.16E-6,0
FENGYUN 1C DEB,1999-025FW,2026-06-12T01:47:15.088416,14.20413389,.00607035,98.3043,207.9420,206.5810,214.7594,0,U,29876,999,490,.10385977E-3,.186E-5,0
FENGYUN 1C DEB,1999-025FX,2026-06-11T23:59:50.469216,14.25195975,.00474681,98.5359,168.4158,51.4031,3.6262,0,U,29877,999,550,.32725715E-3,.735E-5,0
FENGYUN 1C DEB,1999-025GA,2026-06-11T23:50:40.158240,13.94618181,.0229715,98.1913,66.3552,314.2404,110.2481,0,U,29880,999,98088,.65995269E-3,.106E-4,0
FENGYUN 1C DEB,1999-025GB,2026-06-12T20:44:21.881760,13.60274174,.0289623,98.7314,121.6089,317.9917,94.9135,0,U,29881,999,95710,.14297E-2,.1374E-4,0
FENGYUN 1C DEB,1999-025GE,2026-06-12T02:50:40.139232,14.41044870,.00422642,99.5830,223.3928,332.3307,90.1605,0,U,29884,999,1161,.42757697E-3,.1336E-4,0
FENGYUN 1C DEB,1999-025GF,2026-06-12T18:52:24.776832,14.13699417,.0118235,98.3681,92.1124,1.1984,54.2251,0,U,29885,999,30,.12639E-3,.215E-5,0
FENGYUN 1C DEB,1999-025GH,2026-06-12T19:07:18.314400,14.34853447,.0283966,98.7068,252.1003,180.9275,301.8303,0,U,29887,999,583,.80916E-3,.3575E-4,0
FENGYUN 1C DEB,1999-025GJ,2026-06-12T19:26:40.014240,14.20412846,.0271959,99.1838,8.8094,227.2455,130.5549,0,U,29888,999,86,.31783E-3,.932E-5,0
FENGYUN 1C DEB,1999-025GK,2026-06-12T21:05:33.199872,14.13782433,.015269,99.4985,297.3075,251.4521,238.9092,0,U,29889,999,99892,.2282E-3,.432E-5,0
FENGYUN 1C DEB,1999-025GL,2026-06-11T21:23:06.724320,14.24072954,.00134458,99.4842,303.2329,286.1410,73.8286,0,U,29890,999,19,.74874178E-3,.1672E-4,0
